,modelo,parametros,rmse,nlpd,fold,rmse_dimensao_original
0,BayesianLinearRegression,"{'alphaInit': 0.5311895608442122, 'lambdaInit': 0.08451046357433445}",0.03006989604432818,-0.963854236824884,0,3060.4516481745445
1,BayesianLinearRegression,"{'alphaInit': 0.5929279288577197, 'lambdaInit': 0.0541840079450495}",0.030069895191876233,-0.9638540030042629,0,3060.451575588261
2,BayesianLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 1e-07}",0.03006989708411794,-0.9638545222681377,0,3060.4517367126427
3,BayesianLinearRegression,"{'alphaInit': 0.32296696027899363, 'lambdaInit': 0.03583213033743136}",0.030069895441429618,-0.9638540714365658,0,3060.4515968377323
4,BayesianLinearRegression,"{'alphaInit': 0.12888898254682277, 'lambdaInit': 1.0829782264297245}",0.030069898973045243,-0.963855041484068,0,3060.4518975548026
5,BayesianPolinomialLinearRegression,"{'alphaInit': 0.45956177924690106, 'lambdaInit': 1.012726015166692, 'order': 3.0}",0.028435142581068586,-0.7919314855595296,0,2921.25239077799
6,BayesianPolinomialLinearRegression,"{'alphaInit': 0.35602306814555323, 'lambdaInit': 0.33121007948082576, 'order': 4.0}",0.028152622546576262,-0.701602833175302,0,2897.195809840969
7,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 2.0}",0.029583563214555485,-0.9174587098416966,0,3019.0404077194
8,BayesianPolinomialLinearRegression,"{'alphaInit': 0.753649973089427, 'lambdaInit': 1.1, 'order': 2.0}",0.029583569295367537,-0.9174590840801927,0,3019.0409255005457
9,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 1.1, 'order': 2.0}",0.02958356816829343,-0.9174590147028209,0,3019.040829530186
10,RBFLinearRegression,"{'sig2_error': 0.14500884224806726, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.09027378219960919}",0.030328777975612797,0.6501824989563423,0,3082.495444623429
11,RBFLinearRegression,"{'sig2_error': 0.6492560527648014, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.3797612067199645}",0.03177157154884221,1.397363959999082,0,3205.3493173839147
12,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.24212633770965894}",0.03140278217776523,1.6131205641910202,0,3173.9469024367095
13,RBFLinearRegression,"{'sig2_error': 0.4083808935466747, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.33167370794217316}",0.03165298797284426,1.1659280788284812,0,3195.2519258876887
14,RBFLinearRegression,"{'sig2_error': 1.0, 'mean_rbf_arbitrario': -1.0, 'lambda_rbf_arbitrario': 0.0639864979944621}",0.030052300538996907,1.6131606578404702,0,3058.953390895587
15,RegressaoLinear,{},0.030063801653975215,4.519160849447813e+56,0,3059.93271083599
16,RegressaoLinear,{},0.030063801653975215,4.519160849447813e+56,0,3059.93271083599
17,RegressaoLinear,{},0.030063801653975215,4.519160849447813e+56,0,3059.93271083599
18,RegressaoLinear,{},0.030063801653975215,4.519160849447813e+56,0,3059.93271083599
19,RegressaoLinear,{},0.030063801653975215,4.519160849447813e+56,0,3059.93271083599
